,name,mfr,type,fiber,rating,shelf,vitamins,coupons,price
0,100% Bran,Nestle,C,10.0,68.4,top,25,4,4.06
1,100% Natural Bran,Quaker Oats,C,2.0,33.98,top,0,1,4.62
2,All-Bran,Kelloggs,C,9.0,59.43,top,25,3,4.39
3,All-Bran with Extra Fiber,Kelloggs,C,14.0,93.7,top,25,2,6.18
4,Almond Delight,Ralston Purina,C,1.0,34.38,top,25,2,6.05
5,Apple Cinnamon Cheerios,General Mills,C,1.5,29.51,bottom,25,2,4.96
6,Apple Jacks,Kelloggs,C,1.0,33.17,middle,25,3,2.93
7,Basic 4,General Mills,C,2.0,37.04,top,25,2,3.48
8,Bran Chex,Ralston Purina,C,4.0,49.12,bottom,25,1,2.74
9,Bran Flakes,Post,C,5.0,53.31,top,25,1,4.99
10,Cap'n'Crunch,Quaker Oats,C,0.0,18.04,middle,25,3,5.5
11,Cheerios,General Mills,C,2.0,50.76,bottom,25,4,6.12
12,Cinnamon Toast Crunch,General Mills,C,0.0,19.82,middle,25,3,3.56
13,Clusters,General Mills,C,2.0,40.4,top,25,1,6.23
14,Cocoa Puffs,General Mills,C,0.0,22.74,middle,25,3,3.79
15,Corn Chex,Ralston Purina,C,0.0,41.45,bottom,25,4,4.15
16,Corn Flakes,Kelloggs,C,1.0,45.86,bottom,25,1,2.04
17,Corn Pops,Kelloggs,C,1.0,35.78,middle,25,4,2.71
18,Count Chocula,General Mills,C,0.0,22.4,middle,25,4,3.82
19,Cracklin' Oat Bran,Kelloggs,C,4.0,40.45,top,25,3,3.98
20,Cream of Wheat (Quick),Nestle,H,1.0,64.53,middle,0,1,6.23
21,Crispix,Kelloggs,C,1.0,46.9,top,25,2,5.22
22,Crispy Wheat & Raisins,General Mills,C,2.0,36.18,top,25,1,4.43
23,Double Chex,Ralston Purina,C,1.0,44.33,top,25,2,5.82
24,Froot Loops,Kelloggs,C,1.0,32.21,middle,25,3,5.65
25,Frosted Flakes,Kelloggs,C,1.0,31.44,bottom,25,3,2.23
26,Frosted Mini-Wheats,Kelloggs,C,3.0,58.35,middle,25,1,5.34
27,"Fruit & Fibre Dates, Walnuts, and Oats",Post,C,5.0,40.92,top,25,3,3.64
28,Fruitful Bran,Kelloggs,C,5.0,41.02,top,25,3,4.17
29,Fruity Pebbles,Post,C,0.0,28.03,middle,25,4,5.01
